"","origin","destination","amount","year"
"1","Northland","Northland",3130,"2002"
"2","Waitemata","Northland",112,"2002"
"3","Auckland","Northland",91,"2002"
"4","Counties Manukau","Northland",67,"2002"
"5","Waikato","Northland",32,"2002"
"6","Lakes","Northland",12,"2002"
"7","Bay of Plenty","Northland",14,"2002"
"8","Tairawhiti","Northland",1,"2002"
"9","Taranaki","Northland",3,"2002"
"10","Hawkes Bay","Northland",15,"2002"
"11","Mid Central","Northland",6,"2002"
"12","Whanganui","Northland",8,"2002"
"13","Capital and Coast","Northland",86,"2002"
"14","Hutt","Northland",12,"2002"
"15","Wairarapa","Northland",0,"2002"
"16","Nelson Marlborough","Northland",6,"2002"
"17","West Coast","Northland",4,"2002"
"18","Canterbury","Northland",8,"2002"
"19","South Canterbury","Northland",2,"2002"
"20","Otago","Northland",8,"2002"
"21","Southland","Northland",3,"2002"
"22","Unknown","Northland",7,"2002"
"23","Northland","Waitemata",330,"2002"
"24","Waitemata","Waitemata",9065,"2002"
"25","Auckland","Waitemata",3325,"2002"
"26","Counties Manukau","Waitemata",1649,"2002"
"27","Waikato","Waitemata",186,"2002"
"28","Lakes","Waitemata",55,"2002"
"29","Bay of Plenty","Waitemata",109,"2002"
"30","Tairawhiti","Waitemata",15,"2002"
"31","Taranaki","Waitemata",55,"2002"
"32","Hawkes Bay","Waitemata",52,"2002"
"33","Mid Central","Waitemata",47,"2002"
"34","Whanganui","Waitemata",28,"2002"
"35","Capital and Coast","Waitemata",91,"2002"
"36","Hutt","Waitemata",40,"2002"
"37","Wairarapa","Waitemata",9,"2002"
"38","Nelson Marlborough","Waitemata",29,"2002"
"39","West Coast","Waitemata",4,"2002"
"40","Canterbury","Waitemata",58,"2002"
"41","South Canterbury","Waitemata",8,"2002"
"42","Otago","Waitemata",29,"2002"
"43","Southland","Waitemata",22,"2002"
"44","Unknown","Waitemata",59,"2002"
"45","Northland","Auckland",67,"2002"
"46","Waitemata","Auckland",613,"2002"
"47","Auckland","Auckland",5526,"2002"
"48","Counties Manukau","Auckland",295,"2002"
"49","Waikato","Auckland",42,"2002"
"50","Lakes","Auckland",12,"2002"
"51","Bay of Plenty","Auckland",28,"2002"
"52","Tairawhiti","Auckland",5,"2002"
"53","Taranaki","Auckland",7,"2002"
"54","Hawkes Bay","Auckland",22,"2002"
"55","Mid Central","Auckland",9,"2002"
"56","Whanganui","Auckland",3,"2002"
"57","Capital and Coast","Auckland",47,"2002"
"58","Hutt","Auckland",7,"2002"
"59","Wairarapa","Auckland",1,"2002"
"60","Nelson Marlborough","Auckland",0,"2002"
"61","West Coast","Auckland",1,"2002"
"62","Canterbury","Auckland",7,"2002"
"63","South Canterbury","Auckland",3,"2002"
"64","Otago","Auckland",10,"2002"
"65","Southland","Auckland",4,"2002"
"66","Unknown","Auckland",20,"2002"
"67","Northland","Counties Manukau",62,"2002"
"68","Waitemata","Counties Manukau",125,"2002"
"69","Auckland","Counties Manukau",457,"2002"
"70","Counties Manukau","Counties Manukau",3573,"2002"
"71","Waikato","Counties Manukau",51,"2002"
"72","Lakes","Counties Manukau",12,"2002"
"73","Bay of Plenty","Counties Manukau",33,"2002"
"74","Tairawhiti","Counties Manukau",1,"2002"
"75","Taranaki","Counties Manukau",12,"2002"
"76","Hawkes Bay","Counties Manukau",6,"2002"
"77","Mid Central","Counties Manukau",8,"2002"
"78","Whanganui","Counties Manukau",7,"2002"
"79","Capital and Coast","Counties Manukau",16,"2002"
"80","Hutt","Counties Manukau",9,"2002"
"81","Wairarapa","Counties Manukau",0,"2002"
"82","Nelson Marlborough","Counties Manukau",6,"2002"
"83","West Coast","Counties Manukau",1,"2002"
"84","Canterbury","Counties Manukau",12,"2002"
"85","South Canterbury","Counties Manukau",2,"2002"
"86","Otago","Counties Manukau",2,"2002"
"87","Southland","Counties Manukau",3,"2002"
"88","Unknown","Counties Manukau",12,"2002"
"89","Northland","Waikato",37,"2002"
"90","Waitemata","Waikato",76,"2002"
"91","Auckland","Waikato",70,"2002"
"92","Counties Manukau","Waikato",65,"2002"
"93","Waikato","Waikato",6545,"2002"
"94","Lakes","Waikato",197,"2002"
"95","Bay of Plenty","Waikato",262,"2002"
"96","Tairawhiti","Waikato",17,"2002"
"97","Taranaki","Waikato",97,"2002"
"98","Hawkes Bay","Waikato",37,"2002"
"99","Mid Central","Waikato",24,"2002"
"100","Whanganui","Waikato",18,"2002"
"101","Capital and Coast","Waikato",45,"2002"
