"","year","gender","ethnic_group","age_group","amount"
"1",2002,"Male","Asian","5–",5
"2",2002,"Female","Asian","5–",3
"3",2002,"Male","Māori","5–",69
"4",2002,"Female","Māori","5–",49
"5",2002,"Male","Other","5–",348
"6",2002,"Female","Other","5–",175
"7",2002,"Male","Pacific","5–",10
"8",2002,"Female","Pacific","5–",2
"9",2002,"Male","Asian","10–",23
"10",2002,"Female","Asian","10–",13
"11",2002,"Male","Māori","10–",549
"12",2002,"Female","Māori","10–",184
"13",2002,"Male","Other","10–",2174
"14",2002,"Female","Other","10–",924
"15",2002,"Male","Pacific","10–",63
"16",2002,"Female","Pacific","10–",19
"17",2002,"Male","Asian","15–",54
"18",2002,"Female","Asian","15–",37
"19",2002,"Male","Māori","15–",951
"20",2002,"Female","Māori","15–",577
"21",2002,"Male","Other","15–",3244
"22",2002,"Female","Other","15–",1777
"23",2002,"Male","Pacific","15–",103
"24",2002,"Female","Pacific","15–",78
"25",2002,"Male","Asian","20–",87
"26",2002,"Female","Asian","20–",118
"27",2002,"Male","Māori","20–",954
"28",2002,"Female","Māori","20–",934
"29",2002,"Male","Other","20–",2924
"30",2002,"Female","Other","20–",3228
"31",2002,"Male","Pacific","20–",171
"32",2002,"Female","Pacific","20–",153
"33",2002,"Male","Asian","25–",87
"34",2002,"Female","Asian","25–",87
"35",2002,"Male","Māori","25–",1009
"36",2002,"Female","Māori","25–",753
"37",2002,"Male","Other","25–",2537
"38",2002,"Female","Other","25–",2336
"39",2002,"Male","Pacific","25–",216
"40",2002,"Female","Pacific","25–",135
"41",2002,"Male","Asian","30–",73
"42",2002,"Female","Asian","30–",104
"43",2002,"Male","Māori","30–",1091
"44",2002,"Female","Māori","30–",892
"45",2002,"Male","Other","30–",3021
"46",2002,"Female","Other","30–",2865
"47",2002,"Male","Pacific","30–",217
"48",2002,"Female","Pacific","30–",128
"49",2002,"Male","Asian","35–",78
"50",2002,"Female","Asian","35–",130
"51",2002,"Male","Māori","35–",1189
"52",2002,"Female","Māori","35–",1005
"53",2002,"Male","Other","35–",3534
"54",2002,"Female","Other","35–",3628
"55",2002,"Male","Pacific","35–",192
"56",2002,"Female","Pacific","35–",151
"57",2002,"Male","Asian","40–",71
"58",2002,"Female","Asian","40–",124
"59",2002,"Male","Māori","40–",1054
"60",2002,"Female","Māori","40–",965
"61",2002,"Male","Other","40–",3629
"62",2002,"Female","Other","40–",3694
"63",2002,"Male","Pacific","40–",174
"64",2002,"Female","Pacific","40–",132
"65",2002,"Male","Asian","40–",83
"66",2002,"Female","Asian","40–",125
"67",2002,"Male","Māori","40–",680
"68",2002,"Female","Māori","40–",741
"69",2002,"Male","Other","40–",3247
"70",2002,"Female","Other","40–",3197
"71",2002,"Male","Pacific","40–",112
"72",2002,"Female","Pacific","40–",102
"73",2002,"Male","Asian","50–",48
"74",2002,"Female","Asian","50–",87
"75",2002,"Male","Māori","50–",444
"76",2002,"Female","Māori","50–",438
"77",2002,"Male","Other","50–",2534
"78",2002,"Female","Other","50–",2438
"79",2002,"Male","Pacific","50–",74
"80",2002,"Female","Pacific","50–",62
"81",2002,"Male","Asian","60–",44
"82",2002,"Female","Asian","60–",60
"83",2002,"Male","Māori","60–",231
"84",2002,"Female","Māori","60–",262
"85",2002,"Male","Other","60–",1783
"86",2002,"Female","Other","60–",2015
"87",2002,"Male","Pacific","60–",51
"88",2002,"Female","Pacific","60–",49
"89",2002,"Male","Asian","60–",15
"90",2002,"Female","Asian","60–",33
"91",2002,"Male","Māori","60–",123
"92",2002,"Female","Māori","60–",139
"93",2002,"Male","Other","60–",1206
"94",2002,"Female","Other","60–",1461
"95",2002,"Male","Pacific","60–",28
"96",2002,"Female","Pacific","60–",44
"97",2002,"Male","Asian","65–",17
"98",2002,"Female","Asian","65–",22
"99",2002,"Male","Māori","65–",73
"100",2002,"Female","Māori","65–",96
"101",2002,"Male","Other","65–",896
"102",2002,"Female","Other","65–",1072
"103",2002,"Male","Pacific","65–",20
"104",2002,"Female","Pacific","65–",32
"105",2002,"Male","Asian","70–",10
"106",2002,"Female","Asian","70–",25
"107",2002,"Male","Māori","70–",41
"108",2002,"Female","Māori","70–",70
"109",2002,"Male","Other","70–",609
"110",2002,"Female","Other","70–",813
"111",2002,"Male","Pacific","70–",17
"112",2002,"Female","Pacific","70–",18
"113",2002,"Male","Asian","75–",8
"114",2002,"Female","Asian","75–",21
"115",2002,"Male","Māori","75–",33
"116",2002,"Female","Māori","75–",43
"117",2002,"Male","Other","75–",578
"118",2002,"Female","Other","75–",769
"119",2002,"Male","Pacific","75–",9
"120",2002,"Female","Pacific","75–",12
"121",2002,"Male","Asian","80–",9
"122",2002,"Female","Asian","80–",11
"123",2002,"Male","Māori","80–",20
"124",2002,"Female","Māori","80–",27
"125",2002,"Male","Other","80–",554
"126",2002,"Female","Other","80–",927
"127",2002,"Male","Pacific","80–",8
"128",2002,"Female","Pacific","80–",11
"129",2002,"Male","Asian","85+",5
"130",2002,"Female","Asian","85+",2
"131",2002,"Male","Māori","85+",7
"132",2002,"Female","Māori","85+",21
"133",2002,"Male","Other","85+",473
"134",2002,"Female","Other","85+",887
"135",2002,"Male","Pacific","85+",5
"136",2002,"Female","Pacific","85+",9
"137",2002,"Male","Asian","85+",2
"138",2002,"Female","Asian","85+",5
"139",2002,"Male","Māori","85+",4
"140",2002,"Female","Māori","85+",14
"141",2002,"Male","Other","85+",366
"142",2002,"Female","Other","85+",874
"143",2002,"Male","Pacific","85+",2
"144",2002,"Female","Pacific","85+",2
"145",2003,"Male","Asian","5–",4
"146",2003,"Female","Asian","5–",2
"147",2003,"Male","Māori","5–",60
"148",2003,"Female","Māori","5–",27
"149",2003,"Male","Other","5–",246
"150",2003,"Female","Other","5–",136
"151",2003,"Male","Pacific","5–",6
"152",2003,"Female","Pacific","5–",0
"153",2003,"Male","Asian","10–",30
"154",2003,"Female","Asian","10–",8
"155",2003,"Male","Māori","10–",506
"156",2003,"Female","Māori","10–",151
"157",2003,"Male","Other","10–",2014
"158",2003,"Female","Other","10–",802
"159",2003,"Male","Pacific","10–",51
"160",2003,"Female","Pacific","10–",16
"161",2003,"Male","Asian","15–",62
"162",2003,"Female","Asian","15–",35
"163",2003,"Male","Māori","15–",1038
"164",2003,"Female","Māori","15–",567
"165",2003,"Male","Other","15–",3278
"166",2003,"Female","Other","15–",1755
"167",2003,"Male","Pacific","15–",94
"168",2003,"Female","Pacific","15–",63
"169",2003,"Male","Asian","20–",83
"170",2003,"Female","Asian","20–",124
"171",2003,"Male","Māori","20–",1067
"172",2003,"Female","Māori","20–",901
"173",2003,"Male","Other","20–",2993
"174",2003,"Female","Other","20–",3279
"175",2003,"Male","Pacific","20–",196
"176",2003,"Female","Pacific","20–",161
"177",2003,"Male","Asian","25–",122
"178",2003,"Female","Asian","25–",127
"179",2003,"Male","Māori","25–",1115
"180",2003,"Female","Māori","25–",829
"181",2003,"Male","Other","25–",2594
"182",2003,"Female","Other","25–",2467
"183",2003,"Male","Pacific","25–",251
"184",2003,"Female","Pacific","25–",144
"185",2003,"Male","Asian","30–",88
"186",2003,"Female","Asian","30–",104
"187",2003,"Male","Māori","30–",1092
"188",2003,"Female","Māori","30–",891
"189",2003,"Male","Other","30–",2913
"190",2003,"Female","Other","30–",2721
"191",2003,"Male","Pacific","30–",221
"192",2003,"Female","Pacific","30–",151
"193",2003,"Male","Asian","35–",80
"194",2003,"Female","Asian","35–",128
"195",2003,"Male","Māori","35–",1191
"196",2003,"Female","Māori","35–",1061
"197",2003,"Male","Other","35–",3590
"198",2003,"Female","Other","35–",3637
"199",2003,"Male","Pacific","35–",206
"200",2003,"Female","Pacific","35–",182
"201",2003,"Male","Asian","40–",81
"202",2003,"Female","Asian","40–",163
"203",2003,"Male","Māori","40–",1029
"204",2003,"Female","Māori","40–",972
"205",2003,"Male","Other","40–",3501
"206",2003,"Female","Other","40–",3635
"207",2003,"Male","Pacific","40–",188
"208",2003,"Female","Pacific","40–",162
"209",2003,"Male","Asian","40–",82
"210",2003,"Female","Asian","40–",128
"211",2003,"Male","Māori","40–",743
"212",2003,"Female","Māori","40–",768
"213",2003,"Male","Other","40–",3274
"214",2003,"Female","Other","40–",3201
"215",2003,"Male","Pacific","40–",126
"216",2003,"Female","Pacific","40–",125
"217",2003,"Male","Asian","50–",61
"218",2003,"Female","Asian","50–",90
"219",2003,"Male","Māori","50–",472
"220",2003,"Female","Māori","50–",467
"221",2003,"Male","Other","50–",2569
"222",2003,"Female","Other","50–",2417
"223",2003,"Male","Pacific","50–",85
"224",2003,"Female","Pacific","50–",74
"225",2003,"Male","Asian","60–",42
"226",2003,"Female","Asian","60–",72
"227",2003,"Male","Māori","60–",244
"228",2003,"Female","Māori","60–",275
"229",2003,"Male","Other","60–",1835
"230",2003,"Female","Other","60–",1878
"231",2003,"Male","Pacific","60–",45
"232",2003,"Female","Pacific","60–",56
"233",2003,"Male","Asian","60–",20
"234",2003,"Female","Asian","60–",41
"235",2003,"Male","Māori","60–",129
"236",2003,"Female","Māori","60–",165
"237",2003,"Male","Other","60–",1270
"238",2003,"Female","Other","60–",1494
"239",2003,"Male","Pacific","60–",26
"240",2003,"Female","Pacific","60–",48
"241",2003,"Male","Asian","65–",22
"242",2003,"Female","Asian","65–",20
"243",2003,"Male","Māori","65–",73
"244",2003,"Female","Māori","65–",123
"245",2003,"Male","Other","65–",899
"246",2003,"Female","Other","65–",1046
"247",2003,"Male","Pacific","65–",22
"248",2003,"Female","Pacific","65–",30
"249",2003,"Male","Asian","70–",20
"250",2003,"Female","Asian","70–",28
"251",2003,"Male","Māori","70–",58
"252",2003,"Female","Māori","70–",74
"253",2003,"Male","Other","70–",602
"254",2003,"Female","Other","70–",793
"255",2003,"Male","Pacific","70–",24
"256",2003,"Female","Pacific","70–",25
"257",2003,"Male","Asian","75–",16
"258",2003,"Female","Asian","75–",26
"259",2003,"Male","Māori","75–",35
"260",2003,"Female","Māori","75–",46
"261",2003,"Male","Other","75–",586
"262",2003,"Female","Other","75–",748
"263",2003,"Male","Pacific","75–",9
"264",2003,"Female","Pacific","75–",16
"265",2003,"Male","Asian","80–",4
"266",2003,"Female","Asian","80–",8
"267",2003,"Male","Māori","80–",24
"268",2003,"Female","Māori","80–",35
"269",2003,"Male","Other","80–",582
"270",2003,"Female","Other","80–",899
"271",2003,"Male","Pacific","80–",12
"272",2003,"Female","Pacific","80–",14
"273",2003,"Male","Asian","85+",6
"274",2003,"Female","Asian","85+",2
"275",2003,"Male","Māori","85+",12
"276",2003,"Female","Māori","85+",28
"277",2003,"Male","Other","85+",486
"278",2003,"Female","Other","85+",944
"279",2003,"Male","Pacific","85+",1
"280",2003,"Female","Pacific","85+",9
"281",2003,"Male","Asian","85+",0
"282",2003,"Female","Asian","85+",4
"283",2003,"Male","Māori","85+",6
"284",2003,"Female","Māori","85+",12
"285",2003,"Male","Other","85+",375
"286",2003,"Female","Other","85+",914
"287",2003,"Male","Pacific","85+",4
"288",2003,"Female","Pacific","85+",4
"289",2004,"Male","Asian","0–",12
"290",2004,"Female","Asian","0–",6
"291",2004,"Male","Māori","0–",62
"292",2004,"Female","Māori","0–",32
"293",2004,"Male","Other","0–",201
"294",2004,"Female","Other","0–",122
"295",2004,"Male","Pacific","0–",8
"296",2004,"Female","Pacific","0–",5
"297",2004,"Male","Asian","10–",32
"298",2004,"Female","Asian","10–",11
"299",2004,"Male","Māori","10–",500
"300",2004,"Female","Māori","10–",165
"301",2004,"Male","Other","10–",1878
"302",2004,"Female","Other","10–",786
"303",2004,"Male","Pacific","10–",77
"304",2004,"Female","Pacific","10–",16
"305",2004,"Male","Asian","15–",55
"306",2004,"Female","Asian","15–",35
"307",2004,"Male","Māori","15–",1046
"308",2004,"Female","Māori","15–",582
"309",2004,"Male","Other","15–",3098
"310",2004,"Female","Other","15–",1710
"311",2004,"Male","Pacific","15–",97
"312",2004,"Female","Pacific","15–",59
"313",2004,"Male","Asian","20–",96
"314",2004,"Female","Asian","20–",141
"315",2004,"Male","Māori","20–",1112
