"","activity","gender","year","age_group","amount"
"1","inpatient team","Male",2002,"0–",4
"2","inpatient team","Male",2002,"10–",2
"3","inpatient team","Male",2002,"15–",8
"4","inpatient team","Male",2002,"20–",229
"5","inpatient team","Male",2002,"25–",687
"6","inpatient team","Male",2002,"30–",668
"7","inpatient team","Male",2002,"35–",660
"8","inpatient team","Male",2002,"40–",638
"9","inpatient team","Male",2002,"40–",493
"10","inpatient team","Male",2002,"50–",351
"11","inpatient team","Male",2002,"60–",244
"12","inpatient team","Male",2002,"60–",168
"13","inpatient team","Male",2002,"65–",112
"14","inpatient team","Male",2002,"70–",45
"15","inpatient team","Male",2002,"75–",32
"16","inpatient team","Male",2002,"80–",24
"17","inpatient team","Male",2002,"85+",13
"18","inpatient team","Male",2002,"85+",9
"19","inpatient team","Female",2002,"0–",5
"20","inpatient team","Female",2002,"10–",0
"21","inpatient team","Female",2002,"15–",8
"22","inpatient team","Female",2002,"20–",203
"23","inpatient team","Female",2002,"25–",379
"24","inpatient team","Female",2002,"30–",443
"25","inpatient team","Female",2002,"35–",522
"26","inpatient team","Female",2002,"40–",562
"27","inpatient team","Female",2002,"40–",526
"28","inpatient team","Female",2002,"50–",365
"29","inpatient team","Female",2002,"60–",280
"30","inpatient team","Female",2002,"60–",217
"31","inpatient team","Female",2002,"65–",144
"32","inpatient team","Female",2002,"70–",63
"33","inpatient team","Female",2002,"75–",32
"34","inpatient team","Female",2002,"80–",30
"35","inpatient team","Female",2002,"85+",13
"36","inpatient team","Female",2002,"85+",9
"37","community team","Male",2002,"0–",15
"38","community team","Male",2002,"10–",98
"39","community team","Male",2002,"15–",270
"40","community team","Male",2002,"20–",1292
"41","community team","Male",2002,"25–",2411
"42","community team","Male",2002,"30–",2697
"43","community team","Male",2002,"35–",3025
"44","community team","Male",2002,"40–",3032
"45","community team","Male",2002,"40–",2710
"46","community team","Male",2002,"50–",2111
"47","community team","Male",2002,"60–",1606
"48","community team","Male",2002,"60–",1050
"49","community team","Male",2002,"65–",793
"50","community team","Male",2002,"70–",384
"51","community team","Male",2002,"75–",280
"52","community team","Male",2002,"80–",198
"53","community team","Male",2002,"85+",119
"54","community team","Male",2002,"85+",69
"55","community team","Female",2002,"0–",14
"56","community team","Female",2002,"10–",36
"57","community team","Female",2002,"15–",316
"58","community team","Female",2002,"20–",1652
"59","community team","Female",2002,"25–",2413
"60","community team","Female",2002,"30–",2789
"61","community team","Female",2002,"35–",3427
"62","community team","Female",2002,"40–",3610
"63","community team","Female",2002,"40–",3254
"64","community team","Female",2002,"50–",2494
"65","community team","Female",2002,"60–",2082
"66","community team","Female",2002,"60–",1477
"67","community team","Female",2002,"65–",1076
"68","community team","Female",2002,"70–",598
"69","community team","Female",2002,"75–",359
"70","community team","Female",2002,"80–",303
"71","community team","Female",2002,"85+",197
"72","community team","Female",2002,"85+",148
"73","alcohol and drug team","Male",2002,"0–",1
"74","alcohol and drug team","Male",2002,"10–",16
"75","alcohol and drug team","Male",2002,"15–",190
"76","alcohol and drug team","Male",2002,"20–",1002
"77","alcohol and drug team","Male",2002,"25–",1287
"78","alcohol and drug team","Male",2002,"30–",1562
"79","alcohol and drug team","Male",2002,"35–",1815
"80","alcohol and drug team","Male",2002,"40–",1754
"81","alcohol and drug team","Male",2002,"40–",1295
"82","alcohol and drug team","Male",2002,"50–",846
"83","alcohol and drug team","Male",2002,"60–",419
"84","alcohol and drug team","Male",2002,"60–",222
"85","alcohol and drug team","Male",2002,"65–",114
"86","alcohol and drug team","Male",2002,"70–",63
"87","alcohol and drug team","Male",2002,"75–",35
"88","alcohol and drug team","Male",2002,"80–",14
