"","activity","gender","year","age_group","amount"
"1","inpatient team","Male",2002,"0–4",4
"2","inpatient team","Male",2002,"5–9",2
"3","inpatient team","Male",2002,"10–14",8
"4","inpatient team","Male",2002,"15–19",229
"5","inpatient team","Male",2002,"20–24",687
"6","inpatient team","Male",2002,"25–29",668
"7","inpatient team","Male",2002,"30–34",660
"8","inpatient team","Male",2002,"35–39",638
"9","inpatient team","Male",2002,"40–44",493
"10","inpatient team","Male",2002,"45–49",351
"11","inpatient team","Male",2002,"50–54",244
"12","inpatient team","Male",2002,"55–59",168
"13","inpatient team","Male",2002,"60–64",112
"14","inpatient team","Male",2002,"65–69",45
"15","inpatient team","Male",2002,"70–74",32
"16","inpatient team","Male",2002,"75–79",24
"17","inpatient team","Male",2002,"80–84",13
"18","inpatient team","Male",2002,"85+",9
"19","inpatient team","Female",2002,"0–4",5
"20","inpatient team","Female",2002,"5–9",0
"21","inpatient team","Female",2002,"10–14",8
"22","inpatient team","Female",2002,"15–19",203
"23","inpatient team","Female",2002,"20–24",379
"24","inpatient team","Female",2002,"25–29",443
"25","inpatient team","Female",2002,"30–34",522
"26","inpatient team","Female",2002,"35–39",562
"27","inpatient team","Female",2002,"40–44",526
"28","inpatient team","Female",2002,"45–49",365
"29","inpatient team","Female",2002,"50–54",280
"30","inpatient team","Female",2002,"55–59",217
"31","inpatient team","Female",2002,"60–64",144
"32","inpatient team","Female",2002,"65–69",63
"33","inpatient team","Female",2002,"70–74",32
"34","inpatient team","Female",2002,"75–79",30
"35","inpatient team","Female",2002,"80–84",13
"36","inpatient team","Female",2002,"85+",9
"37","community team","Male",2002,"0–4",15
"38","community team","Male",2002,"5–9",98
"39","community team","Male",2002,"10–14",270
"40","community team","Male",2002,"15–19",1292
"41","community team","Male",2002,"20–24",2411
"42","community team","Male",2002,"25–29",2697
"43","community team","Male",2002,"30–34",3025
"44","community team","Male",2002,"35–39",3032
"45","community team","Male",2002,"40–44",2710
"46","community team","Male",2002,"45–49",2111
"47","community team","Male",2002,"50–54",1606
"48","community team","Male",2002,"55–59",1050
"49","community team","Male",2002,"60–64",793
"50","community team","Male",2002,"65–69",384
"51","community team","Male",2002,"70–74",280
"52","community team","Male",2002,"75–79",198
"53","community team","Male",2002,"80–84",119
"54","community team","Male",2002,"85+",69
"55","community team","Female",2002,"0–4",14
"56","community team","Female",2002,"5–9",36
"57","community team","Female",2002,"10–14",316
"58","community team","Female",2002,"15–19",1652
"59","community team","Female",2002,"20–24",2413
"60","community team","Female",2002,"25–29",2789
"61","community team","Female",2002,"30–34",3427
"62","community team","Female",2002,"35–39",3610
"63","community team","Female",2002,"40–44",3254
"64","community team","Female",2002,"45–49",2494
"65","community team","Female",2002,"50–54",2082
"66","community team","Female",2002,"55–59",1477
"67","community team","Female",2002,"60–64",1076
"68","community team","Female",2002,"65–69",598
"69","community team","Female",2002,"70–74",359
"70","community team","Female",2002,"75–79",303
"71","community team","Female",2002,"80–84",197
"72","community team","Female",2002,"85+",148
"73","alcohol and drug team","Male",2002,"0–4",1
"74","alcohol and drug team","Male",2002,"5–9",16
"75","alcohol and drug team","Male",2002,"10–14",190
"76","alcohol and drug team","Male",2002,"15–19",1002
"77","alcohol and drug team","Male",2002,"20–24",1287
"78","alcohol and drug team","Male",2002,"25–29",1562
"79","alcohol and drug team","Male",2002,"30–34",1815
"80","alcohol and drug team","Male",2002,"35–39",1754
"81","alcohol and drug team","Male",2002,"40–44",1295
"82","alcohol and drug team","Male",2002,"45–49",846
"83","alcohol and drug team","Male",2002,"50–54",419
"84","alcohol and drug team","Male",2002,"55–59",222
"85","alcohol and drug team","Male",2002,"60–64",114
"86","alcohol and drug team","Male",2002,"65–69",63
"87","alcohol and drug team","Male",2002,"70–74",35
"88","alcohol and drug team","Male",2002,"75–79",14
"89","alcohol and drug team","Male",2002,"80–84",4
"90","alcohol and drug team","Male",2002,"85+",3
"91","alcohol and drug team","Female",2002,"0–4",0
"92","alcohol and drug team","Female",2002,"5–9",11
"93","alcohol and drug team","Female",2002,"10–14",116
"94","alcohol and drug team","Female",2002,"15–19",498
"95","alcohol and drug team","Female",2002,"20–24",596
"96","alcohol and drug team","Female",2002,"25–29",888
"97","alcohol and drug team","Female",2002,"30–34",1077
"98","alcohol and drug team","Female",2002,"35–39",1028
"99","alcohol and drug team","Female",2002,"40–44",834
"100","alcohol and drug team","Female",2002,"45–49",463
"101","alcohol and drug team","Female",2002,"50–54",248
"102","alcohol and drug team","Female",2002,"55–59",147
"103","alcohol and drug team","Female",2002,"60–64",55
"104","alcohol and drug team","Female",2002,"65–69",35
"105","alcohol and drug team","Female",2002,"70–74",19
"106","alcohol and drug team","Female",2002,"75–79",13
"107","alcohol and drug team","Female",2002,"80–84",6
"108","alcohol and drug team","Female",2002,"85+",3
"109","child, adolescent and family team","Male",2002,"0–4",393
"110","child, adolescent and family team","Male",2002,"5–9",2608
"111","child, adolescent and family team","Male",2002,"10–14",3703
"112","child, adolescent and family team","Male",2002,"15–19",1588
"113","child, adolescent and family team","Male",2002,"20–24",57
"114","child, adolescent and family team","Male",2002,"25–29",37
"115","child, adolescent and family team","Male",2002,"30–34",18
"116","child, adolescent and family team","Male",2002,"35–39",32
"117","child, adolescent and family team","Male",2002,"40–44",34
"118","child, adolescent and family team","Male",2002,"45–49",32
"119","child, adolescent and family team","Male",2002,"50–54",16
"120","child, adolescent and family team","Male",2002,"55–59",8
"121","child, adolescent and family team","Male",2002,"60–64",9
"122","child, adolescent and family team","Male",2002,"65–69",0
"123","child, adolescent and family team","Male",2002,"70–74",0
"124","child, adolescent and family team","Male",2002,"75–79",2
"125","child, adolescent and family team","Male",2002,"80–84",0
"126","child, adolescent and family team","Male",2002,"85+",2
"127","child, adolescent and family team","Female",2002,"0–4",211
"128","child, adolescent and family team","Female",2002,"5–9",1063
"129","child, adolescent and family team","Female",2002,"10–14",1985
"130","child, adolescent and family team","Female",2002,"15–19",2078
"131","child, adolescent and family team","Female",2002,"20–24",123
"132","child, adolescent and family team","Female",2002,"25–29",79
"133","child, adolescent and family team","Female",2002,"30–34",106
"134","child, adolescent and family team","Female",2002,"35–39",100
"135","child, adolescent and family team","Female",2002,"40–44",51
"136","child, adolescent and family team","Female",2002,"45–49",43
"137","child, adolescent and family team","Female",2002,"50–54",21
"138","child, adolescent and family team","Female",2002,"55–59",14
"139","child, adolescent and family team","Female",2002,"60–64",13
"140","child, adolescent and family team","Female",2002,"65–69",2
"141","child, adolescent and family team","Female",2002,"70–74",2
"142","child, adolescent and family team","Female",2002,"75–79",2
"143","child, adolescent and family team","Female",2002,"80–84",0
"144","child, adolescent and family team","Female",2002,"85+",0
"145","forensic team","Male",2002,"0–4",0
"146","forensic team","Male",2002,"5–9",0
"147","forensic team","Male",2002,"10–14",20
"148","forensic team","Male",2002,"15–19",298
"149","forensic team","Male",2002,"20–24",544
"150","forensic team","Male",2002,"25–29",571
"151","forensic team","Male",2002,"30–34",572
"152","forensic team","Male",2002,"35–39",504
"153","forensic team","Male",2002,"40–44",305
"154","forensic team","Male",2002,"45–49",227
"155","forensic team","Male",2002,"50–54",112
"156","forensic team","Male",2002,"55–59",78
"157","forensic team","Male",2002,"60–64",35
"158","forensic team","Male",2002,"65–69",17
"159","forensic team","Male",2002,"70–74",12
"160","forensic team","Male",2002,"75–79",7
"161","forensic team","Male",2002,"80–84",0
"162","forensic team","Male",2002,"85+",0
"163","forensic team","Female",2002,"0–4",0
"164","forensic team","Female",2002,"5–9",0
"165","forensic team","Female",2002,"10–14",3
"166","forensic team","Female",2002,"15–19",49
"167","forensic team","Female",2002,"20–24",91
"168","forensic team","Female",2002,"25–29",75
"169","forensic team","Female",2002,"30–34",92
"170","forensic team","Female",2002,"35–39",102
"171","forensic team","Female",2002,"40–44",82
"172","forensic team","Female",2002,"45–49",38
"173","forensic team","Female",2002,"50–54",19
"174","forensic team","Female",2002,"55–59",9
"175","forensic team","Female",2002,"60–64",4
"176","forensic team","Female",2002,"65–69",1
"177","forensic team","Female",2002,"70–74",1
"178","forensic team","Female",2002,"75–79",1
"179","forensic team","Female",2002,"80–84",0
"180","forensic team","Female",2002,"85+",0
"181","kaupapa māori team","Male",2002,"0–4",27
"182","kaupapa māori team","Male",2002,"5–9",155
"183","kaupapa māori team","Male",2002,"10–14",242
"184","kaupapa māori team","Male",2002,"15–19",220
"185","kaupapa māori team","Male",2002,"20–24",207
"186","kaupapa māori team","Male",2002,"25–29",254
"187","kaupapa māori team","Male",2002,"30–34",259
"188","kaupapa māori team","Male",2002,"35–39",227
"189","kaupapa māori team","Male",2002,"40–44",170
"190","kaupapa māori team","Male",2002,"45–49",117
"191","kaupapa māori team","Male",2002,"50–54",65
"192","kaupapa māori team","Male",2002,"55–59",43
"193","kaupapa māori team","Male",2002,"60–64",24
"194","kaupapa māori team","Male",2002,"65–69",13
"195","kaupapa māori team","Male",2002,"70–74",10
"196","kaupapa māori team","Male",2002,"75–79",5
"197","kaupapa māori team","Male",2002,"80–84",2
"198","kaupapa māori team","Male",2002,"85+",0
"199","kaupapa māori team","Female",2002,"0–4",5
"200","kaupapa māori team","Female",2002,"5–9",57
"201","kaupapa māori team","Female",2002,"10–14",159
"202","kaupapa māori team","Female",2002,"15–19",203
"203","kaupapa māori team","Female",2002,"20–24",171
"204","kaupapa māori team","Female",2002,"25–29",210
"205","kaupapa māori team","Female",2002,"30–34",278
"206","kaupapa māori team","Female",2002,"35–39",254
"207","kaupapa māori team","Female",2002,"40–44",185
"208","kaupapa māori team","Female",2002,"45–49",139
"209","kaupapa māori team","Female",2002,"50–54",83
"210","kaupapa māori team","Female",2002,"55–59",50
"211","kaupapa māori team","Female",2002,"60–64",26
"212","kaupapa māori team","Female",2002,"65–69",19
"213","kaupapa māori team","Female",2002,"70–74",12
"214","kaupapa māori team","Female",2002,"75–79",6
"215","kaupapa māori team","Female",2002,"80–84",5
"216","kaupapa māori team","Female",2002,"85+",4
"217","pacific island team","Male",2002,"0–4",0
"218","pacific island team","Male",2002,"5–9",4
"219","pacific island team","Male",2002,"10–14",6
"220","pacific island team","Male",2002,"15–19",23
"221","pacific island team","Male",2002,"20–24",60
"222","pacific island team","Male",2002,"25–29",58
"223","pacific island team","Male",2002,"30–34",40
"224","pacific island team","Male",2002,"35–39",38
"225","pacific island team","Male",2002,"40–44",30
"226","pacific island team","Male",2002,"45–49",10
"227","pacific island team","Male",2002,"50–54",10
"228","pacific island team","Male",2002,"55–59",8
"229","pacific island team","Male",2002,"60–64",8
"230","pacific island team","Male",2002,"65–69",3
"231","pacific island team","Male",2002,"70–74",1
"232","pacific island team","Male",2002,"75–79",3
"233","pacific island team","Male",2002,"80–84",1
"234","pacific island team","Male",2002,"85+",0
"235","pacific island team","Female",2002,"0–4",0
"236","pacific island team","Female",2002,"5–9",1
"237","pacific island team","Female",2002,"10–14",5
"238","pacific island team","Female",2002,"15–19",13
"239","pacific island team","Female",2002,"20–24",34
"240","pacific island team","Female",2002,"25–29",32
"241","pacific island team","Female",2002,"30–34",34
"242","pacific island team","Female",2002,"35–39",30
"243","pacific island team","Female",2002,"40–44",23
"244","pacific island team","Female",2002,"45–49",19
"245","pacific island team","Female",2002,"50–54",14
"246","pacific island team","Female",2002,"55–59",9
"247","pacific island team","Female",2002,"60–64",10
"248","pacific island team","Female",2002,"65–69",5
"249","pacific island team","Female",2002,"70–74",2
"250","pacific island team","Female",2002,"75–79",0
"251","pacific island team","Female",2002,"80–84",0
"252","pacific island team","Female",2002,"85+",0
"253","residential team","Male",2002,"0–4",0
"254","residential team","Male",2002,"5–9",0
"255","residential team","Male",2002,"10–14",0
"256","residential team","Male",2002,"15–19",5
"257","residential team","Male",2002,"20–24",9
"258","residential team","Male",2002,"25–29",20
"259","residential team","Male",2002,"30–34",23
