"","course_code","course_name","domestic_fee","international_fee","start_date","end_date","points","link"
"1","FREN121-21S1 (C)","French Language Acquisition: Beginners A","$785.00","$3,500.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN121&occurrence=21S1(C)&year=2021"
"2","FREN122-21S2 (C)","French Language Acquisition: Beginners B","$785.00","$3,500.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN122&occurrence=21S2(C)&year=2021"
"3","FREN211-21S2 (C)","Banned Books and Countercultures","$785.00","$3,500.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN211&occurrence=21S2(C)&year=2021"
"4","FREN221-21S1 (C)","French Language Acquisition : Intermediate A","$785.00","$3,500.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN221&occurrence=21S1(C)&year=2021"
"5","FREN222-21S2 (C)","French Language Acquisition : Intermediate B","$785.00","$3,500.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN222&occurrence=21S2(C)&year=2021"
"6","FREN311-21S2 (C)","Banned Books and Countercultures","$1,570.00","$7,000.00","Monday, 19 July 2021","Sunday, 14 November 2021","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN311&occurrence=21S2(C)&year=2021"
"7","FREN321-21S1 (C)","French Language Acquisition: Advanced A","$1,570.00","$7,000.00","Monday, 22 February 2021","Sunday, 27 June 2021","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN321&occurrence=21S1(C)&year=2021"
"8","FREN322-21S2 (C)","French Language Acquisition: Advanced B","$1,570.00","$7,000.00","Monday, 19 July 2021","Sunday, 14 November 2021","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN322&occurrence=21S2(C)&year=2021"
"9","FREN401-21S1 (C)","Advanced French","$1,905.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN401&occurrence=21S1(C)&year=2021"
"10","FREN418-21S2 (C)","Special Topic","$1,905.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=FREN418&occurrence=21S2(C)&year=2021"
